state,coc,coc_num,coc_award_amount,rural_urban,total_beds,total_hmis_beds,hmis_bed_coverage_perc,es_sh_avg_days,es_sh_median_days,es_sh_th_avg_days,es_sh_th_median_days,num_exit_to_perm_housing_so,num_return_6_so,num_return_12_so,num_return_24_so,perc_return_6_so,perc_return_12_so,perc_return_24_so,num_exit_to_perm_housing_es,num_return_6_es,num_return_12_es,num_return_24_es,perc_return_6_es,perc_return_12_es,perc_return_24_es,num_exit_to_perm_housing_th,num_return_6_th,num_return_12_th,num_return_24_th,perc_return_6_th,perc_return_12_th,perc_return_24_th,num_exit_to_perm_housing_sh,num_return_6_sh,num_return_12_sh,num_return_24_sh,perc_return_6_sh,perc_return_12_sh,perc_return_24_sh,num_exit_to_perm_housing_ph,num_return_6_ph,num_return_12_ph,num_return_24_ph,perc_return_6_ph,perc_return_12_ph,perc_return_24_ph,num_exit_to_perm_housing_so_es_th_sh_ph,num_return_6_so_es_th_sh_ph,num_return_12_so_es_th_sh_ph,num_return_24_all,perc_return_6_all,perc_return_12_all,perc_return_24_all,,,,,,,,,,avg_pct_wage_inc,,,,,,,,total_num_exit_so,num_exit_so_to_temp,num_exit_so_to_perm,perc_successfully_exit_so,total_num_exit_es_th_sh_phrrh,num_exit_es_th_sh_phrrh_to_perm,perc_successfully_exit_es_th_sh_phrrh_to_perm,,,,,,,,,,,,,,,,,,
GA,Georgia Balance of State CoC,GA-501,"$18,905,191.00",Largely Rural CoC,1366,889,65%,61,20,81,21,108,4,7,10,4%,6%,9%,1129,45,81,134,4%,7%,12%,228,7,16,28,3%,7%,12%,0,0,0,0,NA,NA,NA,1849,12,43,116,1%,2%,6%,3314,68,147,288,2%,4%,9%,5755,1065,92,9%,315,30%,396,37%,1009,205,20%,163,16%,334,33%,4547,7252,861,333,321,76%,6681,3941,59%,2809,2624,93%,4871,95,2%,397,73,18%,743,118,16%,2534,33,1%,314,9,3%
GA,Fulton County CoC,GA-502,"$2,430,457.00",Largely Suburban CoC,564,564,100%,134,85,188,92,2,0,0,0,0%,0%,0%,87,1,1,3,1%,1%,3%,65,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,259,3,4,5,1%,2%,2%,413,4,5,8,1%,1%,2%,594,127,8,6%,12,9%,20,16%,104,14,13%,5,5%,17,16%,365,954,4,2,2,100%,914,572,63%,345,320,93%,385,32,8%,125,27,22%,105,36,34%,249,51,20%,0,0,NA
GA,Athens-Clarke County CoC,GA-503,"$715,218.00",Other Largely Urban CoC,135,121,90%,60,47,60,47,0,0,0,0,NA,NA,NA,130,3,6,13,2%,5%,10%,2,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,142,1,2,4,1%,1%,3%,274,4,8,17,1%,3%,6%,508,55,9,16%,28,51%,35,64%,26,5,19%,7,27%,11,42%,411,462,0,0,0,NA,482,241,50%,124,119,96%,375,108,29%,0,0,NA,28,0,0%,121,0,0%,0,0,NA
GA,Augusta-Richmond County CoC,GA-504,"$635,710.00",Other Largely Urban CoC,228,166,73%,66,26,77,28,108,5,7,11,5%,6%,10%,111,18,26,28,16%,23%,25%,28,2,3,6,7%,11%,21%,0,0,0,0,NA,NA,NA,89,2,2,5,2%,2%,6%,336,27,38,50,8%,11%,15%,1097,24,4,17%,9,38%,13,54%,28,5,18%,7,25%,8,29%,816,915,185,72,26,53%,1053,264,25%,29,27,93%,950,15,2%,51,0,0%,8,0,0%,141,0,0%,100,15,15%
GA,Columbus-Muscogee CoC,GA-505,"$1,610,376.00",Other Largely Urban CoC,257,157,61%,89,48,98,58,1,0,0,0,0%,0%,0%,114,14,18,26,12%,16%,23%,45,0,1,1,0%,2%,2%,0,0,0,0,NA,NA,NA,114,4,7,11,4%,6%,10%,274,18,26,38,7%,9%,14%,489,50,8,16%,8,16%,15,30%,119,31,26%,6,5%,34,29%,329,584,,,,NA,579,353,61%,103,85,83%,362,6,2%,56,5,9%,62,4,6%,230,1,0%,0,0,NA
GA,Marietta/Cobb County CoC,GA-506,"$2,250,609.00",Largely Suburban CoC,220,192,87%,27,30,51,31,16,1,1,3,6%,6%,19%,349,22,33,49,6%,9%,14%,95,1,2,7,1%,2%,7%,0,0,0,0,NA,NA,NA,195,6,11,17,3%,6%,9%,655,30,47,76,5%,7%,12%,1493,77,13,17%,33,43%,42,55%,181,69,38%,8,4%,75,41%,1194,1469,152,23,28,34%,1480,602,41%,130,124,95%,1112,11,1%,219,12,5%,25,1,4%,340,13,4%,142,17,12%
GA,Savannah/Chatham County CoC,GA-507,"$3,383,018.00",Other Largely Urban CoC,610,274,45%,37,23,64,28,19,4,5,6,21%,26%,32%,379,53,68,85,14%,18%,22%,76,6,9,9,8%,12%,12%,0,0,0,0,NA,NA,NA,71,1,3,4,1%,4%,6%,545,64,85,104,12%,16%,19%,1302,243,30,12%,98,40%,120,49%,180,35,19%,21,12%,52,29%,970,1079,686,29,480,74%,1100,311,28%,691,678,98%,1069,21,2%,146,0,0%,95,0,0%,0,0,NA,222,6,3%
GA,DeKalb County CoC,GA-508,"$5,803,531.00",Largely Suburban CoC,108,108,100%,64,31,99,54,103,0,0,3,0%,0%,3%,143,21,33,33,15%,23%,23%,87,2,2,5,2%,2%,6%,0,0,0,0,NA,NA,NA,1014,14,29,56,1%,3%,6%,1347,37,64,97,3%,5%,7%,389,281,34,12%,95,34%,124,44%,250,36,14%,31,12%,59,24%,263,1152,284,38,38,27%,1004,727,72%,1544,1521,99%,113,24,21%,98,28,29%,300,1,0%,586,19,3%,107,0,0%
GU,Guam CoC,GU-500,"$1,170,412.00",Largely Rural CoC,94,89,95%,64,52,69,56,0,0,0,0,NA,NA,NA,153,13,24,25,8%,16%,16%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,152,9,10,20,6%,7%,13%,305,22,34,45,7%,11%,15%,552,41,2,5%,5,12%,7,17%,21,1,5%,0,0%,1,5%,381,442,0,0,0,NA,598,229,38%,93,84,90%,477,0,0%,12,1,8%,29,4,14%,158,8,5%,0,0,NA
HI,Hawaii Balance of State CoC,HI-500,"$2,667,935.00",Largely Rural CoC,757,727,96%,113,78,160,116,224,20,29,59,9%,13%,26%,508,66,89,121,13%,18%,24%,465,38,55,84,8%,12%,18%,0,0,0,0,NA,NA,NA,298,13,30,52,4%,10%,17%,1495,137,203,316,9%,14%,21%,2099,75,0,0%,18,24%,18,24%,365,91,25%,92,25%,150,41%,959,1273,332,101,152,76%,1656,991,60%,356,331,93%,733,183,25%,327,64,20%,114,0,0%,774,16,2%,685,22,3%
HI,Honolulu City and County CoC,HI-501,"$10,249,234.00",Largely Suburban CoC,2218,2174,98%,140,79,202,116,251,20,44,57,8%,18%,23%,923,91,133,194,10%,14%,21%,1290,77,147,215,6%,11%,17%,5,1,2,3,20%,40%,60%,786,40,59,84,5%,8%,11%,3255,229,385,553,7%,12%,17%,5365,447,8,2%,64,14%,69,15%,823,119,14%,181,22%,259,31%,2697,3381,270,99,115,79%,3888,2270,58%,999,949,95%,2351,385,16%,1088,123,11%,318,26,8%,1659,173,10%,763,10,1%
IA,"Sioux City/Dakota, Woodbury Counties CoC",IA-500,"$747,036.00",Other Largely Urban CoC,243,89,37%,52,56,97,64,0,0,0,0,NA,NA,NA,7,0,0,1,0%,0%,14%,153,0,1,10,0%,1%,7%,0,0,0,0,NA,NA,NA,30,0,2,5,0%,7%,17%,190,0,3,16,0%,2%,8%,297,5,0,0%,0,0%,0,0%,56,14,25%,14,25%,25,45%,230,277,16,2,11,81%,284,225,79%,9,9,100%,14,0,0%,225,10,4%,0,0,NA,60,1,2%,17,0,0%
IA,Iowa Balance of State CoC,IA-501,"$5,571,658.00",Largely Rural CoC,1274,942,74%,40,25,65,30,56,2,4,12,4%,7%,21%,1372,131,221,330,10%,16%,24%,634,37,68,103,6%,11%,16%,0,0,0,0,NA,NA,NA,721,32,62,95,4%,9%,13%,2783,202,355,540,7%,13%,19%,5507,49,10,20%,14,29%,20,41%,431,104,24%,62,14%,146,34%,3938,4605,223,27,159,83%,5240,2762,53%,286,267,93%,4299,696,16%,667,162,24%,88,7,8%,1580,93,6%,49,1,2%
IA,Des Moines/Polk County CoC,IA-502,"$3,631,979.00",Other Largely Urban CoC,586,586,100%,48,26,65,32,11,2,2,3,18%,18%,27%,711,102,160,236,14%,23%,33%,125,12,21,28,10%,17%,22%,0,0,0,0,NA,NA,NA,406,27,58,97,7%,14%,24%,1253,143,241,364,11%,19%,29%,3774,201,20,10%,63,31%,76,38%,174,42,24%,27,16%,58,33%,2386,2478,84,18,20,45%,3090,861,28%,644,621,96%,2871,1498,52%,415,223,54%,206,24,12%,385,25,6%,23,7,30%
ID,Boise/Ada County CoC,ID-500,"$1,146,029.00",Other Largely Urban CoC,586,195,33%,65,21,83,23,4,0,0,0,0%,0%,0%,21,2,2,4,10%,10%,19%,24,1,1,3,4%,4%,13%,0,0,0,0,NA,NA,NA,271,11,20,28,4%,7%,10%,320,14,23,35,4%,7%,11%,2385,99,13,13%,35,35%,41,41%,66,17,26%,7,11%,23,35%,1147,1537,34,1,0,3%,1043,182,17%,378,371,98%,905,770,85%,43,4,9%,34,2,6%,241,21,9%,38,1,3%
ID,Idaho Balance of State CoC,ID-501,"$3,310,283.00",Largely Rural CoC,561,254,45%,56,35,61,38,8,0,0,0,0%,0%,0%,566,64,92,114,11%,16%,20%,207,7,12,23,3%,6%,11%,596,15,30,45,3%,5%,8%,1377,86,134,182,6%,10%,13%,2754,172,268,364,6%,10%,13%,1367,127,22,17%,26,20%,39,31%,168,56,33%,29,17%,73,43%,947,1489,87,6,29,40%,1614,1188,74%,454,419,92%,1187,205,17%,38,7,18%,97,15,15%,702,26,4%,73,28,38%
IL,McHenry County CoC,IL-500,"$964,871.00",Largely Suburban CoC,157,157,100%,124,83,139,95,0,0,0,0,NA,NA,NA,23,3,4,8,13%,17%,35%,83,3,3,4,4%,4%,5%,0,0,0,0,NA,NA,NA,30,0,0,0,0%,0%,0%,136,6,7,12,4%,5%,9%,361,17,1,6%,2,12%,3,18%,80,36,45%,13,16%,40,50%,253,281,0,0,0,NA,255,173,68%,27,25,93%,131,7,5%,65,4,6%,31,0,0%,47,0,0%,0,0,NA
IL,"Rockford/DeKalb, Winnebago, Boone Counties CoC",IL-501,"$2,200,682.00",Largely Suburban CoC,332,272,82%,43,19,64,22,102,13,22,31,13%,22%,30%,212,7,17,28,3%,8%,13%,70,7,13,16,10%,19%,23%,0,0,0,0,NA,NA,NA,114,3,4,11,3%,4%,10%,498,30,56,86,6%,11%,17%,1907,190,12,6%,67,35%,72,38%,61,10,16%,22,36%,30,49%,1383,1458,79,19,22,52%,1605,302,19%,584,558,96%,1437,31,2%,98,13,13%,106,17,16%,75,2,3%,0,0,NA
IL,"Waukegan, North Chicago/Lake County CoC",IL-502,"$2,593,489.00",Largely Suburban CoC,106,106,100%,38,15,76,26,25,3,4,5,12%,16%,20%,277,41,56,85,15%,20%,31%,117,8,16,26,7%,14%,22%,0,0,0,0,NA,NA,NA,65,0,3,6,0%,5%,9%,484,52,79,122,11%,16%,25%,1013,112,6,5%,35,31%,37,33%,60,8,13%,13,22%,20,33%,660,721,79,12,55,85%,859,509,59%,207,201,97%,760,133,18%,158,5,3%,21,1,5%,102,0,0%,86,6,7%
IL,"Champaign, Urbana, Rantoul/Champaign County CoC",IL-503,"$723,261.00",Other Largely Urban CoC,65,50,77%,25,3,41,6,0,0,0,0,NA,NA,NA,68,4,6,6,6%,9%,9%,78,1,1,4,1%,1%,5%,0,0,0,0,NA,NA,NA,60,0,0,4,0%,0%,7%,206,5,7,14,2%,3%,7%,543,28,2,7%,3,11%,4,14%,13,0,0%,5,38%,5,38%,439,479,0,0,0,NA,536,137,26%,76,73,96%,479,337,70%,18,2,11%,25,7,28%,107,3,3%,0,0,NA
IL,Madison County CoC,IL-504,"$1,869,154.00",Largely Suburban CoC,65,65,100%,48,31,50,31,0,0,0,0,NA,NA,NA,98,4,5,11,4%,5%,11%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,57,0,2,3,0%,4%,5%,155,4,7,14,3%,5%,9%,248,88,5,6%,31,35%,33,38%,41,3,7%,7,17%,9,22%,213,274,0,0,0,NA,327,251,77%,132,123,93%,269,5,2%,0,0,NA,32,1,3%,39,0,0%,0,0,NA
IL,"Joliet, Bolingbrook/Will County CoC",IL-506,"$4,609,607.00",Largely Suburban CoC,256,256,100%,39,14,54,17,0,0,0,0,NA,NA,NA,143,18,28,39,13%,20%,27%,32,2,4,5,6%,13%,16%,1,0,1,1,0%,100%,100%,65,7,14,16,11%,22%,25%,241,27,47,61,11%,20%,25%,1300,171,23,13%,86,50%,98,57%,67,20,30%,11,16%,31,46%,957,1023,0,0,0,NA,1080,244,23%,289,283,98%,1062,15,1%,102,25,25%,62,0,0%,94,0,0%,0,0,NA
IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",IL-507,"$1,829,851.00",Largely Suburban CoC,460,307,67%,59,25,59,25,66,9,11,15,14%,17%,23%,370,47,70,92,13%,19%,25%,62,3,6,12,5%,10%,19%,2,0,0,0,0%,0%,0%,155,9,17,26,6%,11%,17%,655,68,104,145,10%,16%,22%,1580,97,13,13%,26,27%,38,39%,84,11,13%,15,18%,26,31%,1026,1098,56,13,30,77%,1396,527,38%,312,309,99%,1414,369,26%,3,1,33%,51,2,4%,154,0,0%,47,2,4%
IL,"East St. Louis, Belleville/St. Clair County CoC",IL-508,"$3,662,079.00",Largely Suburban CoC,172,147,85%,25,8,102,18,0,0,0,0,NA,NA,NA,36,2,2,3,6%,6%,8%,93,5,7,8,5%,8%,9%,0,0,0,0,NA,NA,NA,81,5,6,8,6%,7%,10%,210,12,15,19,6%,7%,9%,705,153,13,8%,43,28%,49,32%,100,14,14%,20,20%,30,30%,557,742,0,0,0,NA,784,432,55%,239,231,97%,503,198,39%,218,9,4%,61,1,2%,136,0,0%,0,0,NA
IL,Chicago CoC,IL-510,"$76,142,315.00",Major City CoC,4787,4615,96%,157,62,174,77,242,15,24,42,6%,10%,17%,2029,373,484,650,18%,24%,32%,1010,132,193,283,13%,19%,28%,4,0,0,1,0%,0%,25%,1527,118,195,268,8%,13%,18%,4812,638,896,1244,13%,19%,26%,17054,3729,259,7%,1085,29%,1232,33%,1490,186,12%,352,24%,508,34%,10171,11257,1641,702,292,61%,12811,2894,23%,6714,6523,97%,12140,6140,51%,1517,173,11%,877,99,11%,1406,110,8%,675,30,4%
IL,Cook County CoC,IL-511,"$13,403,353.00",Largely Suburban CoC,295,295,100%,60,30,106,42,44,10,10,14,23%,23%,32%,316,62,82,97,20%,26%,31%,210,11,15,19,5%,7%,9%,18,1,4,4,6%,22%,22%,484,16,24,39,3%,5%,8%,1072,100,135,173,9%,13%,16%,2341,472,65,14%,134,28%,169,36%,249,64,26%,51,20%,104,42%,1417,2005,593,110,196,52%,2153,625,29%,1436,1375,96%,1888,996,53%,184,7,4%,286,13,5%,468,7,1%,697,110,16%
IL,Bloomington/Central Illinois CoC,IL-512,"$1,000,335.00",Largely Rural CoC,335,250,75%,73,40,95,45,40,2,5,7,5%,13%,18%,190,8,12,21,4%,6%,11%,44,5,5,9,11%,11%,20%,25,0,0,1,0%,0%,4%,40,0,0,5,0%,0%,13%,339,15,22,43,4%,6%,13%,1017,35,3,9%,1,3%,2,6%,33,7,21%,4,12%,8,24%,777,849,266,108,134,91%,802,330,41%,110,108,98%,796,226,28%,38,3,8%,40,0,0%,81,1,1%,444,0,0%
IL,Springfield/Sangamon County CoC,IL-513,"$402,128.00",Other Largely Urban CoC,262,259,99%,36,10,72,24,10,2,2,2,20%,20%,20%,158,47,54,62,30%,34%,39%,146,14,16,24,10%,11%,16%,0,0,0,0,NA,NA,NA,39,1,4,7,3%,10%,18%,353,64,76,95,18%,22%,27%,1193,25,5,20%,6,24%,9,36%,28,7,25%,2,7%,9,32%,753,761,84,57,6,75%,997,270,27%,89,84,94%,915,515,56%,199,10,5%,31,2,6%,0,0,NA,86,9,10%
IL,DuPage County CoC,IL-514,"$5,136,314.00",Largely Suburban CoC,278,278,100%,49,15,99,25,5,0,0,1,0%,0%,20%,202,26,40,54,13%,20%,27%,67,2,4,12,3%,6%,18%,0,0,0,0,NA,NA,NA,159,7,8,17,4%,5%,11%,433,35,52,84,8%,12%,19%,1321,197,30,15%,76,39%,89,45%,54,17,31%,28,52%,39,72%,780,846,37,12,3,41%,1012,309,31%,381,361,95%,928,536,58%,66,1,2%,60,1,2%,241,6,2%,15,4,27%
IL,South Central Illinois CoC,IL-515,"$1,061,142.00",Largely Rural CoC,34,34,100%,23,14,23,14,0,0,0,0,NA,NA,NA,44,3,8,9,7%,18%,20%,3,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,99,0,0,4,0%,0%,4%,146,3,8,13,2%,5%,9%,447,29,3,10%,8,28%,8,28%,129,28,22%,12,9%,37,29%,388,563,0,0,0,NA,675,395,59%,46,46,100%,417,22,5%,4,0,0%,5,0,0%,335,34,10%,0,0,NA
IL,Decatur/Macon County CoC,IL-516,"$869,146.00",Other Largely Urban CoC,111,108,97%,75,45,112,60,0,0,0,0,NA,NA,NA,31,7,11,13,23%,35%,42%,20,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,12,0,0,2,0%,0%,17%,63,7,11,15,11%,17%,24%,344,33,2,6%,1,3%,3,9%,41,4,10%,8,20%,11,27%,225,269,0,0,0,NA,286,119,42%,81,78,96%,264,100,38%,44,5,11%,27,1,4%,31,0,0%,1744,1258,72%
IL,"Aurora, Elgin/Kane County CoC",IL-517,"$1,909,460.00",Largely Suburban CoC,293,293,100%,104,35,112,36,0,0,0,0,NA,NA,NA,237,44,60,68,19%,25%,29%,52,4,5,9,8%,10%,17%,0,0,0,0,NA,NA,NA,46,7,8,10,15%,17%,22%,335,55,73,87,16%,22%,26%,1879,34,5,15%,14,41%,17,50%,23,4,17%,7,30%,11,48%,1178,1186,0,0,0,NA,1530,294,19%,112,112,100%,1237,336,27%,15,1,7%,9,0,0%,24,6,25%,0,0,NA
IL,"Rock Island, Moline/Northwestern Illinois CoC",IL-518,"$776,138.00",Largely Rural CoC,221,138,62%,71,39,89,47,14,1,1,1,7%,7%,7%,74,8,10,13,11%,14%,18%,26,0,0,0,0%,0%,0%,132,1,3,5,1%,2%,4%,246,10,14,19,4%,6%,8%,492,20,28,38,4%,6%,8%,471,15,2,13%,1,7%,2,13%,38,2,5%,4,11%,6,16%,370,757,64,3,53,88%,720,389,54%,42,35,83%,311,39,13%,42,13,31%,23,1,4%,0,0,NA,0,0,NA
IL,West Central Illinois CoC,IL-519,"$645,899.00",Largely Rural CoC,56,56,100%,28,18,43,21,0,0,0,0,NA,NA,NA,137,11,19,26,8%,14%,19%,33,0,2,2,0%,6%,6%,61,1,3,4,2%,5%,7%,231,12,24,32,5%,10%,14%,462,24,48,64,5%,10%,14%,468,15,6,40%,1,7%,6,40%,13,5,38%,2,15%,6,46%,365,398,0,0,0,NA,439,201,46%,85,78,92%,294,100,34%,44,19,43%,33,0,0%,40,0,0%,0,0,NA
IL,Southern Illinois CoC,IL-520,"$1,133,472.00",Largely Rural CoC,256,224,88%,46,19,124,25,0,0,0,0,NA,NA,NA,177,13,18,32,7%,10%,18%,45,1,3,5,2%,7%,11%,0,0,0,0,NA,NA,NA,72,0,0,3,0%,0%,4%,294,14,21,40,5%,7%,14%,783,37,5,14%,4,11%,8,22%,99,20,20%,15,15%,28,28%,605,693,0,0,0,NA,681,286,42%,110,103,94%,566,78,14%,97,30,31%,47,0,0%,49,0,0%,0,0,NA
IN,Indiana Balance of State CoC,IN-502,"$18,346,413.00",Largely Rural CoC,3266,1938,59%,67,36,85,41,416,37,63,87,9%,15%,21%,2007,165,252,386,8%,13%,19%,438,16,33,64,4%,8%,15%,26,1,5,6,4%,19%,23%,1480,50,108,168,3%,7%,11%,4367,269,461,711,6%,11%,16%,7803,1175,85,7%,392,33%,457,39%,733,98,13%,121,17%,208,28%,5527,6697,1840,236,328,31%,7183,2777,39%,2163,2031,94%,6549,2439,37%,660,107,16%,555,24,4%,1544,112,7%,856,383,45%
IN,Indianapolis CoC,IN-503,"$7,066,690.00",Major City CoC,1228,1133,92%,45,16,59,21,75,13,18,21,17%,24%,28%,793,103,136,187,13%,17%,24%,335,27,52,84,8%,16%,25%,5,1,2,2,20%,40%,40%,527,37,68,103,7%,13%,20%,1735,181,276,397,10%,16%,23%,8170,401,30,7%,109,27%,132,33%,150,33,22%,38,25%,69,46%,5322,5892,515,3,70,14%,7458,1435,19%,977,935,96%,7061,2847,40%,1220,680,56%,171,9,5%,893,24,3%,126,83,66%
KS,Wichita/Sedgwick County CoC,KS-502,"$2,694,231.00",Other Largely Urban CoC,432,395,91%,46,20,61,25,17,1,3,4,6%,18%,24%,582,56,88,145,10%,15%,25%,17,1,2,2,6%,12%,12%,10,1,1,3,10%,10%,30%,213,13,22,43,6%,10%,20%,839,72,116,197,9%,14%,23%,2895,121,7,6%,26,21%,32,26%,524,55,10%,42,8%,91,17%,1895,2086,187,70,44,61%,2468,802,32%,504,455,90%,2485,929,37%,382,268,70%,185,28,15%,468,1,0%,156,20,13%
KS,Topeka/Shawnee County CoC,KS-503,"$1,754,485.00",Other Largely Urban CoC,373,0,0%,0,0,0,0,51,1,1,5,2%,2%,10%,1,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,108,2,9,15,2%,8%,14%,160,3,10,20,2%,6%,13%,0,212,2,1%,21,10%,23,11%,100,4,4%,20,20%,24,24%,0,235,94,15,50,69%,49,21,43%,572,551,96%,0,0,NA,0,0,NA,118,6,5%,7,0,0%,0,0,NA
KS,"Overland Park, Shawnee/Johnson County CoC",KS-505,"$727,890.00",Largely Suburban CoC,79,79,100%,100,80,135,112,3,0,0,0,0%,0%,0%,56,1,1,6,2%,2%,11%,14,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,140,0,5,5,0%,4%,4%,213,1,6,11,0%,3%,5%,181,19,3,16%,8,42%,10,53%,38,18,47%,11,29%,21,55%,119,186,78,34,29,81%,161,122,76%,28,25,89%,104,5,5%,35,5,14%,11,0,0%,87,2,2%,90,0,0%
KS,Kansas Balance of State CoC,KS-507,"$2,592,210.00",Largely Rural CoC,1044,410,39%,173,15,186,18,149,25,32,39,17%,21%,26%,864,168,207,246,19%,24%,28%,70,6,8,10,9%,11%,14%,0,0,0,0,NA,NA,NA,1050,43,80,99,4%,8%,9%,2133,242,327,394,11%,15%,18%,1232,591,13,2%,33,6%,41,7%,1783,346,19%,81,5%,394,22%,904,1012,69,26,23,71%,1422,636,45%,199,176,88%,1098,355,32%,140,59,42%,32,0,0%,352,103,29%,132,20,15%
KY,Kentucky Balance of State CoC,KY-500,"$11,334,495.00",Largely Rural CoC,1332,636,48%,46,25,65,33,24,0,0,1,0%,0%,4%,984,90,146,200,9%,15%,20%,257,5,10,26,2%,4%,10%,0,0,0,0,NA,NA,NA,1049,45,65,89,4%,6%,8%,2314,140,221,316,6%,10%,14%,3211,427,50,12%,106,25%,148,35%,383,72,19%,52,14%,119,31%,2406,3135,49,17,22,80%,3345,1775,53%,780,748,96%,2457,15,1%,353,0,0%,191,1,1%,1079,4,0%,0,0,NA
KY,Louisville-Jefferson County CoC,KY-501,"$11,049,588.00",Major City CoC,670,634,95%,57,16,73,20,58,10,17,26,17%,29%,45%,499,103,131,167,21%,26%,33%,261,39,53,68,15%,20%,26%,0,0,0,0,NA,NA,NA,399,16,27,55,4%,7%,14%,1217,168,228,316,14%,19%,26%,5914,698,51,7%,215,31%,247,35%,273,38,14%,75,27%,108,40%,4170,4359,803,276,85,45%,4478,762,17%,1556,1511,97%,5424,3737,69%,364,39,11%,436,14,3%,308,10,3%,511,25,5%
KY,Lexington-Fayette County CoC,KY-502,"$2,069,653.00",Other Largely Urban CoC,471,323,69%,48,11,53,12,30,0,1,3,0%,3%,10%,514,82,131,175,16%,25%,34%,47,2,7,11,4%,15%,23%,0,0,0,0,NA,NA,NA,122,3,5,11,2%,4%,9%,713,87,144,200,12%,20%,28%,3307,119,6,5%,29,24%,31,26%,64,5,8%,17,27%,21,33%,2251,2337,310,41,60,33%,3241,699,22%,382,367,96%,3247,470,14%,114,3,3%,119,4,3%,172,5,3%,325,84,26%
LA,Lafayette/Acadiana CoC,LA-500,"$2,847,843.00",Largely Rural CoC,192,192,100%,69,30,67,29,41,2,11,15,5%,27%,37%,158,24,38,51,15%,24%,32%,213,10,29,51,5%,14%,24%,0,0,0,0,NA,NA,NA,145,7,9,15,5%,6%,10%,557,43,87,132,8%,16%,24%,959,135,15,11%,63,47%,69,51%,176,19,11%,22,13%,39,22%,641,715,168,42,36,46%,665,525,79%,155,153,99%,379,9,2%,269,1,0%,27,0,0%,386,7,2%,93,27,29%
LA,"Shreveport, Bossier/Northwest Louisiana CoC",LA-502,"$4,010,656.00",Other Largely Urban CoC,311,311,100%,57,21,69,25,81,3,6,9,4%,7%,11%,220,9,14,31,4%,6%,14%,34,5,8,9,15%,24%,26%,23,2,2,4,9%,9%,17%,89,8,9,16,9%,10%,18%,447,27,39,69,6%,9%,15%,1376,137,8,6%,36,26%,42,31%,78,4,5%,18,23%,22,28%,973,1088,131,1,35,27%,1208,433,36%,237,219,92%,1263,391,31%,48,1,2%,97,3,3%,346,16,5%,46,23,50%
LA,New Orleans/Jefferson Parish CoC,LA-503,"$22,728,831.00",Major City CoC,1016,832,82%,49,19,56,22,498,18,29,48,4%,6%,10%,230,11,14,25,5%,6%,11%,124,2,5,23,2%,4%,19%,32,0,0,1,0%,0%,3%,552,9,23,33,2%,4%,6%,1436,40,71,130,3%,5%,9%,4936,1887,162,9%,624,33%,703,37%,496,89,18%,170,34%,238,48%,3190,3707,375,56,300,95%,2555,1969,77%,3243,3178,98%,3715,1228,33%,408,38,9%,364,17,5%,926,32,3%,318,1,0%
LA,Monroe/Northeast Louisiana CoC,LA-505,"$1,847,632.00",Largely Rural CoC,92,82,89%,36,10,53,16,27,1,3,8,4%,11%,30%,16,2,3,3,13%,19%,19%,9,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,96,1,2,3,1%,2%,3%,148,4,8,14,3%,5%,9%,357,29,9,31%,19,66%,21,72%,70,8,11%,15,21%,22,31%,324,466,172,65,91,91%,218,168,77%,65,59,91%,29,0,0%,33,0,0%,26,0,0%,315,0,0%,98,0,0%
LA,Slidell/Southeast Louisiana CoC,LA-506,"$2,647,157.00",Largely Suburban CoC,163,155,95%,104,88,175,109,45,5,6,6,11%,13%,13%,41,1,3,3,2%,7%,7%,9,0,1,1,0%,11%,11%,0,0,0,0,NA,NA,NA,81,0,0,10,0%,0%,12%,176,6,10,20,3%,6%,11%,268,163,6,4%,109,67%,111,68%,71,19,27%,20,28%,37,52%,180,346,29,0,21,72%,454,298,66%,270,258,96%,49,0,0%,46,3,7%,64,4,6%,195,10,5%,30,0,0%
LA,Alexandria/Central Louisiana CoC,LA-507,"$732,556.00",Largely Rural CoC,96,64,67%,39,21,82,49,95,2,5,10,2%,5%,11%,56,3,3,5,5%,5%,9%,79,1,3,3,1%,4%,4%,0,0,0,0,NA,NA,NA,122,21,24,34,17%,20%,28%,352,27,35,52,8%,10%,15%,263,27,3,11%,6,22%,9,33%,90,13,14%,6,7%,19,21%,213,330,188,11,66,41%,311,264,85%,51,48,94%,139,1,1%,85,0,0%,16,0,0%,136,1,1%,219,74,34%
